Material,Type,Lateral load resisting  system,Height,Irregularities,Ductility,Type of block,Type of concrete
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Unknown,Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Unknown,Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Unknown,Concrete block,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Unknown,Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Unknown,Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Unknown,Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Unknown,Unknown,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Unknown,Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Irregular-torsion,Unknown,Unknown,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Concrete block,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Unknown,Cast in place
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Unknown,Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Unknown,Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Unknown,Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Unknown,Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Unknown,Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Unknown,Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Unknown,Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Unknown,Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Regular,Unknown,Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Unknown,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Concrete block,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Concrete block,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Concrete block,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Ceramic brick,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Ceramic brick,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Ceramic brick,Unknown
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Unknown,Cast in place
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Unknown,Pre-cast
Concrete,Reinforced,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Unknown,Unknown
